Brand,Color,Ratings,Ratings_reviews,Original_price,Selling_price,Ram,Rom,Discount,Model
Samsung,Marble Gray,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
MOTOROLA,Pantone Sparkling Grape,4.3,"44,921 Ratings & 3,326 Reviews","₹36,999","₹28,999",8 GB,256 GB,21% off,MOTOROLA Edge
Apple,Black,4.6,"4,218 Ratings & 226 Reviews","₹79,900","₹74,900",,128 GB,6% off,Apple iPhone
OnePlus,Black Infinity,4.5,"7,049 Ratings & 384 Reviews","₹26,999","₹26,960",8 GB,256 GB,,OnePlus Nord
OnePlus,Nexus Blue,4.5,"7,049 Ratings & 384 Reviews","₹24,999","₹24,790",8 GB,128 GB,,OnePlus Nord
Samsung,Cobalt Violet,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
Samsung,Cobalt Violet,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
OnePlus,Black Infinity,4.5,"7,049 Ratings & 384 Reviews","₹24,999","₹24,790",8 GB,128 GB,,OnePlus Nord
vivo,Arctic White,4.4,"4,920 Ratings & 230 Reviews","₹26,999","₹24,999",12 GB,256 GB,7% off,vivo T4R
vivo,Arctic White,4.5,"53,740 Ratings & 2,397 Reviews","₹23,499","₹20,999",8 GB,128 GB,10% off,vivo T4R
Apple,Pink,4.6,"2,71,335 Ratings & 9,480 Reviews","₹59,900","₹54,900",,128 GB,8% off,Apple iPhone
OnePlus,Nexus Blue,4.5,"7,049 Ratings & 384 Reviews","₹30,999","₹28,957",8 GB,256 GB,6% off,OnePlus Nord
OnePlus,Marble Mist,4.5,"7,049 Ratings & 384 Reviews","₹30,999","₹27,855",8 GB,256 GB,10% off,OnePlus Nord
POCO,Mystic Purple,4.2,174 Ratings & 10 Reviews,"₹15,499","₹12,999",6 GB,128 GB,16% off,POCO C85
POCO,Frost Silver,4.7,482 Ratings & 33 Reviews,"₹22,999","₹19,999",8 GB,128 GB,13% off,POCO M8
OPPO,Midnight Violet,4.4,"22,077 Ratings & 1,683 Reviews","₹15,999","₹12,499",4 GB,128 GB,21% off,OPPO K13x
Samsung,Onyx Black,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
MOTOROLA,Pantone Spellbound,4.3,"27,104 Ratings & 1,745 Reviews","₹19,999","₹16,999",8 GB,128 GB,15% off,MOTOROLA G86
Apple,Sage,4.7,"3,975 Ratings & 227 Reviews",,"₹82,900",,256 GB,,Apple iPhone
Samsung,Marble Gray,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
Samsung,Onyx Black,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
POCO,Glacial Blue,4.7,482 Ratings & 33 Reviews,"₹22,999","₹19,999",8 GB,128 GB,13% off,POCO M8
realme,Midnight Lily,4.4,"11,295 Ratings & 464 Reviews","₹13,999","₹12,999",6 GB,128 GB,7% off,realme P3
realme,Purple Blossom,4.4,"7,412 Ratings & 305 Reviews","₹12,999","₹11,999",4 GB,128 GB,7% off,realme P3
IQOO,Ultramarine,4.4,"4,877 Ratings & 222 Reviews","₹18,999","₹16,438",8 GB,128 GB,13% off,IQOO Z10X
Samsung,Amber Yellow,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
Samsung,Marble Gray,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
Samsung,Silver Shadow,4.7,320 Ratings & 42 Reviews,"₹99,999","₹74,999",12 GB,256 GB,25% off,Samsung Galaxy
POCO,Ocean Blue,4.1,"72,792 Ratings & 3,360 Reviews","₹12,999","₹11,499",6 GB,128 GB,11% off,POCO M7
Samsung,Cobalt Violet,4.6,"51,482 Ratings & 2,819 Reviews","₹74,999","₹42,999",8 GB,128 GB,42% off,Samsung Galaxy
Samsung,Cobalt Violet,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
Nothing,3a) Pro (Black,4.5,"12,808 Ratings & 972 Reviews","₹34,999","₹30,999",8 GB,256 GB,11% off,Nothing Phone
realme,Lily White,4.4,"11,295 Ratings & 464 Reviews","₹13,999","₹12,999",6 GB,128 GB,7% off,realme P3
POCO,Carbon Black,4.7,482 Ratings & 33 Reviews,"₹24,999","₹21,999",8 GB,256 GB,12% off,POCO M8
OPPO,Twilight Blue,4.8,59 Ratings & 9 Reviews,"₹54,999","₹48,999",12 GB,256 GB,10% off,OPPO Reno15
OPPO,Aurora Blue,4.8,59 Ratings & 9 Reviews,"₹54,999","₹48,999",12 GB,256 GB,10% off,OPPO Reno15
OPPO,Glacier White,4.8,59 Ratings & 9 Reviews,"₹54,999","₹48,999",12 GB,256 GB,10% off,OPPO Reno15
IQOO,Titanium,4.4,"4,877 Ratings & 222 Reviews","₹18,999","₹16,465",8 GB,128 GB,13% off,IQOO Z10X
POCO,Yellow,4.3,"16,874 Ratings & 1,754 Reviews","₹31,999","₹22,999",8 GB,256 GB,28% off,POCO X7
OPPO,Midnight Violet,4.4,"22,077 Ratings & 1,683 Reviews","₹15,999","₹12,499",4 GB,128 GB,21% off,OPPO K13x
Samsung,Onyx Black,4.6,"51,482 Ratings & 2,819 Reviews","₹79,999","₹47,999",8 GB,256 GB,40% off,Samsung Galaxy
MOTOROLA,Pantone Sparkling Grape,4.4,"2,435 Ratings & 182 Reviews","₹42,999","₹36,999",16 GB,512 GB,13% off,MOTOROLA Edge
POCO,Ocean Blue,4.3,"16,141 Ratings & 775 Reviews","₹13,999","₹12,499",8 GB,128 GB,10% off,POCO M7
